group,matchday,match_id,team_a,team_b,predicted_score,pick_principal,critical_alternative,tempting_option,quinigol_team,quinigol_minute,quinigol_range,halftime_fulltime,confidence,risk,robustness,research_status,missing_critical_data,notes
A,pending_verification,WG-A-01,Mexico,South Africa,1-0,1-0,2-0,2-0,Mexico anota gol recomendado,minuto 25,17-33,Mexico/Mexico,52.34,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
A,pending_verification,WG-A-02,South Korea,Czechia,1-0,1-0,1-1,2-1,South Korea anota gol recomendado,minuto 32,24-40,Empate/South Korea,39.56,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
A,pending_verification,WG-A-03,Czechia,South Africa,1-0,1-0,1-1,2-1,Czechia anota gol recomendado,minuto 32,24-40,Empate/Czechia,39.92,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
A,pending_verification,WG-A-04,Mexico,South Korea,1-0,1-0,1-1,2-1,Mexico anota gol recomendado,minuto 31,23-39,Empate/Mexico,39.98,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
A,pending_verification,WG-A-05,Czechia,Mexico,0-1,0-1,1-1,0-2,Mexico anota gol recomendado,minuto 28,20-36,Empate/Mexico,46.08,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
A,pending_verification,WG-A-06,South Africa,South Korea,0-1,0-1,1-1,0-2,South Korea anota gol recomendado,minuto 28,20-36,Empate/South Korea,46.05,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-01,Canada,Bosnia and Herzegovina,1-0,1-0,1-1,2-0,Canada anota gol recomendado,minuto 29,21-37,Empate/Canada,45.81,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-02,Qatar,Switzerland,0-1,0-1,none,0-2,Switzerland anota gol recomendado,minuto 27,19-35,Empate/Switzerland,48.36,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-03,Switzerland,Bosnia and Herzegovina,1-0,1-0,2-0,2-0,Switzerland anota gol recomendado,minuto 25,17-33,Switzerland/Switzerland,52.15,bajo,medio,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-04,Canada,Qatar,1-0,1-0,1-1,2-1,Canada anota gol recomendado,minuto 30,22-38,Empate/Canada,41.84,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
B,pending_verification,WG-B-05,Switzerland,Canada,1-0,1-0,1-1,2-1,Switzerland anota gol recomendado,minuto 31,23-39,Empate/Switzerland,39.92,bajo,fragil,valid,FIFA schedule final; formations; necesidad real de puntos por equipo; orden oficial del partido; over_under; perfil climatico historico real de la sede; player_ratings_key_players; probable_lineups; result_status; tabla de puntos real; venue_climate.adaptation_risk; venue_climate.altitude_m; venue_climate.avg_humidity; venue_climate.avg_temp_c; venue_climate.city; venue_climate.country; venue_climate.heat_risk; venue_climate.month,none
